,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,91.7903,42.678,0.972,0.9129999999999999,31.04,91,43,VELA07,0,0.200,4.000,00,ACS,F606W,VELA07_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.5143759250640869,7.715638637542725,0.11197426915168762
1,2,91.0808,119.869,0.841,0.826,59.51,91,119,VELA07,0,0.200,4.000,00,ACS,F606W,VELA07_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.728999137878418,8.018990516662598,0.11944231390953064
2,3,64.8222,65.0804,0.816,0.784,-14.13,64,66,VELA07,0,0.200,4.000,00,ACS,F606W,VELA07_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.9229401350021362,9.229401588439941,0.25672227144241333
3,4,90.9287,50.6453,0.779,0.7440000000000001,-22.7,91,51,VELA07,0,0.200,4.000,00,ACS,F606W,VELA07_a0.200_sunrise_cam00_ACS-F606W_SB00-pred,0.7773956060409546,7.773955821990967,0.12165307253599167
4,1,91.7895,42.6806,0.972,0.912,30.86,91,43,VELA07,1,0.200,4.000,01,ACS,F606W,VELA07_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.5128029584884644,7.692044734954834,0.1119699627161026
5,2,91.0813,119.8694,0.841,0.826,59.92,91,119,VELA07,1,0.200,4.000,01,ACS,F606W,VELA07_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.7326008081436157,8.058609008789062,0.11947338283061981
6,3,64.9038,65.1003,0.8220000000000001,0.785,-85.84,64,65,VELA07,1,0.200,4.000,01,ACS,F606W,VELA07_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,1.0128494501113892,10.128494262695312,0.23800013959407806
7,4,90.9296,50.6454,0.779,0.745,-22.82,91,51,VELA07,1,0.200,4.000,01,ACS,F606W,VELA07_a0.200_sunrise_cam01_ACS-F606W_SB00-pred,0.7777594923973083,7.777595043182373,0.12163916975259781
8,1,91.7883,42.6807,0.972,0.912,30.62,91,43,VELA07,2,0.200,4.000,02,ACS,F606W,VELA07_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.5147371292114258,7.721056938171387,0.1119808480143547
9,2,91.0809,119.8689,0.841,0.826,59.47,91,119,VELA07,2,0.200,4.000,02,ACS,F606W,VELA07_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.729010820388794,8.019119262695312,0.11944570392370224
10,3,65.2839,65.0494,0.7979999999999999,0.722,-79.8,65,65,VELA07,2,0.200,4.000,02,ACS,F606W,VELA07_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,1.052211880683899,10.52211856842041,0.3365274965763092
11,4,90.9296,50.6467,0.779,0.746,-23.35,91,51,VELA07,2,0.200,4.000,02,ACS,F606W,VELA07_a0.200_sunrise_cam02_ACS-F606W_SB00-pred,0.7793530225753784,7.793529987335205,0.12165557593107224
12,1,91.8086,42.6761,0.968,0.914,32.66,91,43,VELA07,3,0.200,4.000,03,ACS,F606W,VELA07_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.5016095042228699,7.524142265319824,0.1123654916882515
13,2,91.0809,119.869,0.841,0.826,59.48,91,119,VELA07,3,0.200,4.000,03,ACS,F606W,VELA07_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.728939414024353,8.018333435058594,0.1194421574473381
14,3,65.0229,65.4341,0.7829999999999999,0.57,2.71,65,65,VELA07,3,0.200,4.000,03,ACS,F606W,VELA07_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,1.2469701766967773,8.728791236877441,0.232926145195961
15,4,90.9268,50.6452,0.779,0.7440000000000001,-22.33,91,51,VELA07,3,0.200,4.000,03,ACS,F606W,VELA07_a0.200_sunrise_cam03_ACS-F606W_SB00-pred,0.7649843096733093,7.649843215942383,0.12243349850177765
16,1,91.7897,42.6804,0.972,0.912,30.86,91,43,VELA07,4,0.200,4.000,04,ACS,F606W,VELA07_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.5126453042030334,7.6896796226501465,0.11197470873594284
17,2,91.0808,119.8693,0.841,0.826,59.47,91,119,VELA07,4,0.200,4.000,04,ACS,F606W,VELA07_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.7292899489402771,8.022189140319824,0.11951842904090881
18,3,64.9221,64.9821,0.8109999999999999,0.7879999999999999,-68.75,65,64,VELA07,4,0.200,4.000,04,ACS,F606W,VELA07_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,1.148273229598999,10.33445930480957,0.2367146611213684
19,4,90.9296,50.6459,0.779,0.745,-23.01,91,51,VELA07,4,0.200,4.000,04,ACS,F606W,VELA07_a0.200_sunrise_cam04_ACS-F606W_SB00-pred,0.7785399556159973,7.785399436950684,0.12164206802845001
20,1,91.8105,42.6482,0.97,0.9179999999999999,35.25,91,43,VELA07,5,0.200,4.000,05,ACS,F606W,VELA07_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.507595419883728,7.613931655883789,0.11205082386732101
21,2,91.0808,119.869,0.841,0.826,59.51,91,119,VELA07,5,0.200,4.000,05,ACS,F606W,VELA07_a0.200_sunrise_cam05_ACS-F606W_SB00-pred,0.7290119528770447,8.019131660461426,0.11944224685430527
