,NUMBER,X_IMAGE,Y_IMAGE,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,gal_id,seg_index,a0,z,cam,instrument,filter,filename,prob_mean,prob_int,flux
0,1,61.4356,65.2338,1.0290000000000001,0.8190000000000001,31.45,61,66,VELA30,272,0.240,3.167,06,ACS,F435W,VELA30_a0.240_sunrise_cam06_ACS-F435W_SB00-pred,0.14190788567066193,1.702894687652588,0.0547318309545517
1,1,67.1457,68.3029,1.073,0.8759999999999999,24.15,67,68,VELA30,274,0.240,3.167,08,ACS,F435W,VELA30_a0.240_sunrise_cam08_ACS-F435W_SB00-pred,0.19592149555683136,2.742900848388672,0.05921545252203941
2,1,60.0065,63.4998,0.833,0.7140000000000001,89.2,60,64,VELA30,276,0.240,3.167,10,ACS,F435W,VELA30_a0.240_sunrise_cam10_ACS-F435W_SB00-pred,0.1002180352807045,0.801744282245636,0.037357036024332047
3,2,71.5534,71.7476,0.98,0.966,5.95,72,72,VELA30,276,0.240,3.167,10,ACS,F435W,VELA30_a0.240_sunrise_cam10_ACS-F435W_SB00-pred,0.17659585177898407,2.472342014312744,0.05597170442342758
4,1,62.0798,65.8155,1.0659999999999998,1.006,31.0,62,66,VELA30,277,0.240,3.167,11,ACS,F435W,VELA30_a0.240_sunrise_cam11_ACS-F435W_SB00-pred,0.3816416263580322,6.86954927444458,0.07862425595521927
5,1,61.7725,65.4159,1.054,0.9309999999999999,-6.34,62,65,VELA30,280,0.240,3.167,14,ACS,F435W,VELA30_a0.240_sunrise_cam14_ACS-F435W_SB00-pred,0.15069127082824707,2.109677791595459,0.059203412383794785
6,1,61.3746,65.0824,1.008,0.767,16.46,61,65,VELA30,281,0.240,3.167,15,ACS,F435W,VELA30_a0.240_sunrise_cam15_ACS-F435W_SB00-pred,0.16192060708999634,1.7811267375946045,0.04799356684088707
7,1,66.9923,65.7156,0.754,0.688,3.84,67,66,VELA30,283,0.240,3.167,17,ACS,F435W,VELA30_a0.240_sunrise_cam17_ACS-F435W_SB00-pred,0.08323266357183456,0.5826286673545837,0.03505682945251465
8,1,60.2205,63.7441,1.0759999999999998,1.046,48.39,60,64,VELA30,285,0.250,3.000,00,ACS,F435W,VELA30_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,0.2188655436038971,3.7207143306732178,0.0942777544260025
9,2,61.7772,73.8961,1.19,1.084,50.51,61,74,VELA30,285,0.250,3.000,00,ACS,F435W,VELA30_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,0.4329840838909149,9.525650024414062,0.09211337566375732
10,3,71.742,72.8416,1.1909999999999998,1.03,-45.58,72,73,VELA30,285,0.250,3.000,00,ACS,F435W,VELA30_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,0.4805896282196045,10.092382431030273,0.11083070933818817
11,4,70.132,66.3421,1.075,0.961,-85.72,70,66,VELA30,285,0.250,3.000,00,ACS,F435W,VELA30_a0.250_sunrise_cam00_ACS-F435W_SB00-pred,0.6826783418655396,12.970888137817383,0.18334244191646576
12,1,60.4648,64.8405,1.15,0.958,16.86,60,65,VELA30,286,0.250,3.000,01,ACS,F435W,VELA30_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.6075000166893005,11.542500495910645,0.10064537823200226
13,2,75.1032,67.4996,1.1520000000000001,0.9470000000000001,15.93,75,68,VELA30,286,0.250,3.000,01,ACS,F435W,VELA30_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.40465137362480164,6.879073143005371,0.0799141451716423
14,3,69.8092,66.2187,1.2590000000000001,0.9420000000000001,24.3,70,67,VELA30,286,0.250,3.000,01,ACS,F435W,VELA30_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.28076454997062683,4.492232799530029,0.1257876455783844
15,4,64.8324,64.8383,1.036,0.963,42.32,65,65,VELA30,286,0.250,3.000,01,ACS,F435W,VELA30_a0.250_sunrise_cam01_ACS-F435W_SB00-pred,0.24606600403785706,3.4449241161346436,0.06976695358753204
16,1,61.116,56.3648,1.4369999999999998,1.041,-51.03,61,57,VELA30,287,0.250,3.000,02,ACS,F435W,VELA30_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.49391552805900574,12.841803550720215,0.16015303134918213
17,2,67.8438,68.8349,1.079,0.861,12.6,68,70,VELA30,287,0.250,3.000,02,ACS,F435W,VELA30_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.1665612757205963,2.1652965545654297,0.06096884235739708
18,3,61.4943,64.5101,0.973,0.853,-72.59,62,65,VELA30,287,0.250,3.000,02,ACS,F435W,VELA30_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.139795184135437,1.5377470254898071,0.06395061314105988
19,4,57.7048,62.1119,1.136,0.975,40.17,57,62,VELA30,287,0.250,3.000,02,ACS,F435W,VELA30_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.5247082114219666,10.49416446685791,0.1369633972644806
20,5,67.0407,59.509,1.195,0.975,69.33,67,59,VELA30,287,0.250,3.000,02,ACS,F435W,VELA30_a0.250_sunrise_cam02_ACS-F435W_SB00-pred,0.5845019221305847,12.274539947509766,0.20636902749538422
21,1,67.4592,64.831,1.17,0.912,0.54,67,65,VELA30,288,0.250,3.000,03,ACS,F435W,VELA30_a0.250_sunrise_cam03_ACS-F435W_SB00-pred,0.24128517508506775,3.860562801361084,0.06812314689159393
22,2,55.8815,66.885,1.205,1.04,-18.1,57,67,VELA30,288,0.250,3.000,03,ACS,F435W,VELA30_a0.250_sunrise_cam03_ACS-F435W_SB00-pred,0.4630879759788513,8.79867172241211,0.10531392693519592
23,3,60.3616,65.8958,1.331,0.99,9.38,60,65,VELA30,288,0.250,3.000,03,ACS,F435W,VELA30_a0.250_sunrise_cam03_ACS-F435W_SB00-pred,0.5618349313735962,12.360368728637695,0.20331406593322754
24,1,69.7409,62.9384,0.924,0.8690000000000001,-2.51,70,63,VELA30,289,0.250,3.000,04,ACS,F435W,VELA30_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.8394032716751099,12.591049194335938,0.15445935726165771
25,2,69.247,71.9244,1.099,1.006,61.26,69,72,VELA30,289,0.250,3.000,04,ACS,F435W,VELA30_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.30286896228790283,5.451641082763672,0.08310303092002869
26,3,74.8335,67.7964,0.922,0.885,-48.77,75,68,VELA30,289,0.250,3.000,04,ACS,F435W,VELA30_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.11660175025463104,1.2826192378997803,0.05913425236940384
27,4,60.5483,64.282,1.382,1.041,60.37,61,64,VELA30,289,0.250,3.000,04,ACS,F435W,VELA30_a0.250_sunrise_cam04_ACS-F435W_SB00-pred,0.23764008283615112,5.228081703186035,0.12390323728322983
28,1,62.0604,63.8898,0.977,0.9059999999999999,-44.14,62,64,VELA30,290,0.250,3.000,05,ACS,F435W,VELA30_a0.250_sunrise_cam05_ACS-F435W_SB00-pred,0.7291672229766846,10.937508583068848,0.10472072660923004
29,2,67.7764,64.9661,0.8959999999999999,0.794,4.26,68,64,VELA30,290,0.250,3.000,05,ACS,F435W,VELA30_a0.250_sunrise_cam05_ACS-F435W_SB00-pred,0.18590104579925537,1.8590104579925537,0.06742338836193085
30,1,65.6395,64.118,1.62,0.96,-5.61,66,65,VELA30,291,0.250,3.000,06,ACS,F435W,VELA30_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.17481926083564758,3.8460237979888916,0.1542641967535019
31,2,73.8138,66.6353,2.012,1.041,11.92,74,66,VELA30,291,0.250,3.000,06,ACS,F435W,VELA30_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.3227970004081726,10.329504013061523,0.22308507561683655
32,3,60.1403,64.1042,1.063,0.935,44.35,60,64,VELA30,291,0.250,3.000,06,ACS,F435W,VELA30_a0.250_sunrise_cam06_ACS-F435W_SB00-pred,0.5966784358024597,10.143533706665039,0.10019010305404663
33,1,68.855,62.881,1.3940000000000001,1.0170000000000001,28.08,69,63,VELA30,292,0.250,3.000,07,ACS,F435W,VELA30_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.18950697779655457,3.979646682739258,0.08982253819704056
34,2,59.5365,73.4375,1.521,1.088,51.15,59,73,VELA30,292,0.250,3.000,07,ACS,F435W,VELA30_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.39933541417121887,11.181391716003418,0.12936237454414368
35,3,57.9947,69.2394,1.178,0.722,14.18,58,69,VELA30,292,0.250,3.000,07,ACS,F435W,VELA30_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.34111782908439636,3.752296209335327,0.06377318501472473
36,4,59.867,65.3226,1.33,1.035,-59.32,59,65,VELA30,292,0.250,3.000,07,ACS,F435W,VELA30_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.6249644756317139,15.624112129211426,0.21435852348804474
37,5,69.6315,73.3279,1.024,0.889,-44.29,70,73,VELA30,292,0.250,3.000,07,ACS,F435W,VELA30_a0.250_sunrise_cam07_ACS-F435W_SB00-pred,0.1471252143383026,1.9126276969909668,0.05296262726187706
38,1,58.9839,71.0261,1.189,0.917,45.42,59,71,VELA30,293,0.250,3.000,08,ACS,F435W,VELA30_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.2463187575340271,4.1874189376831055,0.056547243148088455
39,2,69.6446,74.3225,1.324,0.998,-60.37,70,74,VELA30,293,0.250,3.000,08,ACS,F435W,VELA30_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.20507614314556122,3.896446704864502,0.09171567112207413
40,3,68.6261,68.9605,0.9740000000000001,0.971,9.27,68,69,VELA30,293,0.250,3.000,08,ACS,F435W,VELA30_a0.250_sunrise_cam08_ACS-F435W_SB00-pred,0.6429818868637085,10.930691719055176,0.1702798455953598
41,1,69.1446,65.8133,1.215,1.06,43.67,69,66,VELA30,294,0.250,3.000,09,ACS,F435W,VELA30_a0.250_sunrise_cam09_ACS-F435W_SB00-pred,0.16095556318759918,3.0581557750701904,0.08240783959627151
42,2,56.6675,67.8521,1.2570000000000001,1.041,-22.45,57,68,VELA30,294,0.250,3.000,09,ACS,F435W,VELA30_a0.250_sunrise_cam09_ACS-F435W_SB00-pred,0.23968514800071716,4.793703079223633,0.08853446692228317
43,1,59.9227,59.0742,1.0,0.9129999999999999,-50.3,60,59,VELA30,295,0.250,3.000,10,ACS,F435W,VELA30_a0.250_sunrise_cam10_ACS-F435W_SB00-pred,0.7000119686126709,10.500179290771484,0.09475280344486237
44,2,61.1011,68.0105,0.9440000000000001,0.875,-65.73,61,68,VELA30,295,0.250,3.000,10,ACS,F435W,VELA30_a0.250_sunrise_cam10_ACS-F435W_SB00-pred,0.5823037624359131,12.228379249572754,0.18828947842121124
45,3,69.7071,66.9568,1.0979999999999999,0.937,-88.76,70,67,VELA30,295,0.250,3.000,10,ACS,F435W,VELA30_a0.250_sunrise_cam10_ACS-F435W_SB00-pred,0.13817261159420013,1.934416651725769,0.06525866687297821
46,1,57.2907,67.5752,0.982,0.95,-80.89,57,68,VELA30,296,0.250,3.000,11,ACS,F435W,VELA30_a0.250_sunrise_cam11_ACS-F435W_SB00-pred,0.2469942569732666,3.4579195976257324,0.06762304157018661
47,2,67.2604,67.0564,1.056,0.971,-64.2,67,67,VELA30,296,0.250,3.000,11,ACS,F435W,VELA30_a0.250_sunrise_cam11_ACS-F435W_SB00-pred,0.5119356513023376,9.214841842651367,0.1546313762664795
48,1,58.2591,66.197,2.519,0.9940000000000001,-17.89,57,67,VELA30,297,0.250,3.000,12,ACS,F435W,VELA30_a0.250_sunrise_cam12_ACS-F435W_SB00-pred,0.4668017029762268,21.939680099487305,0.3470548689365387
49,1,59.5351,61.0167,1.499,0.965,-84.95,60,61,VELA30,298,0.250,3.000,13,ACS,F435W,VELA30_a0.250_sunrise_cam13_ACS-F435W_SB00-pred,0.28564223647117615,6.5697712898254395,0.13313071429729462
